No.,Time,Source,Destination,Protocol,Length,Info
394073,811.312698,10.218.185.154,10.79.81.239,TCP,66,5223  >  64067 [ACK] Seq=33146 Ack=78823 Win=1116 Len=0 TSval=2503355139 TSecr=3556948819
394074,811.404734,10.218.185.154,10.239.16.243,TCP,56,5223  >  34685 [ACK] Seq=33146 Ack=81631 Win=1116 Len=0 TSval=2503355225 TSecr=3556948876
394075,811.404851,10.218.185.154,10.79.81.239,TCP,66,5223  >  64067 [ACK] Seq=33146 Ack=78855 Win=1116 Len=0 TSval=2503355225 TSecr=3556948876
394583,817.100901,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
394584,817.176959,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
394585,817.218433,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
394586,817.232087,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
394625,818.506911,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
394632,818.586109,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
394633,818.599793,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
394634,818.982293,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=812d007605c033f9"
394723,819.066831,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
394739,819.61362,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=b72d008102e41e26"
394740,819.69155,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
395041,820.559102,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
395048,820.616481,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
395049,820.629222,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
395064,821.043751,10.41.173.107,10.174.157.59,QUIC,132,"Protected Payload (KP0), DCID=b72d008102e41e26"
395065,821.044066,10.41.173.107,10.174.157.59,QUIC,1284,"Protected Payload (KP0), DCID=b72d008102e41e26"
395066,821.044242,10.41.173.107,10.174.157.59,QUIC,196,"Protected Payload (KP0), DCID=b72d008102e41e26"
395067,821.104678,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
395074,821.120359,10.41.173.107,10.174.157.59,QUIC,68,"Protected Payload (KP0), DCID=b72d008102e41e26"
395075,821.124443,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
395076,821.128573,10.174.157.59,10.41.173.107,QUIC,464,Protected Payload (KP0)
395077,821.130302,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=b72d008102e41e26"
395078,821.170452,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
395079,821.731596,10.41.173.107,10.254.180.215,QUIC,100,"Protected Payload (KP0), DCID=9c210086225cb778"
395080,821.824738,10.254.180.215,10.41.173.107,QUIC,80,Protected Payload (KP0)
395137,823.652137,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
395138,823.718577,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
395139,823.768431,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
395140,823.782136,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
396176,833.541256,10.239.16.243,10.14.228.245,TLSv1.2,114,Application Data
396183,833.637359,10.14.228.245,10.239.16.243,TLSv1.2,103,Application Data
396184,833.637447,10.14.228.245,10.79.81.239,TLSv1.2,113,Application Data
396185,833.638491,10.239.16.243,10.14.228.245,TCP,56,45593  >  443 [ACK] Seq=4043 Ack=7999 Win=131008 Len=0 TSval=3972501501 TSecr=765648139
397289,840.301596,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x8f0b4dfe
397358,841.873951,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397359,841.874402,10.41.173.107,10.236.108.72,QUIC,676,"Protected Payload (KP0), DCID=8c33006501f726fd"
