No.,Time,Source,Destination,Protocol,Length,Info
8830,2130.169213,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8831,2130.169239,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8832,2130.169263,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8833,2130.169285,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8834,2130.169306,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8835,2130.169327,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8836,2130.169349,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8837,2130.169717,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8838,2130.176878,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8839,2130.177114,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8840,2130.177199,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8841,2130.177240,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8842,2130.177271,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8843,2130.177295,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8844,2130.177319,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8845,2130.177341,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8846,2130.177364,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8847,2130.177390,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8848,2130.177412,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8849,2130.177436,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8850,2130.177458,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8851,2130.177482,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8852,2130.177507,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8853,2130.177531,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8854,2130.177557,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
